Mouse,Gender,Batch,Femur length (mm),BV/TV (%),BMD (mgHA/cm3),BS/BV (mm2/mm3),Conn.D. (1/mm3),SMI,Tb.N (1/mm),Tb.Th (mm),Tb.Sp (mm),Ct.Ar[mm2],Ma.Ar[mm2],Tt.Ar[mm2],Ct.Ar/Tt.Ar (%),Ct.Th (mm),Ct.TMD (mgHA/cm3),Cort. Porosity (%),pMOI[mm4],Imax[mm4],Imin[mm4]
420,M,8,15.13,10.17,174,54.00,68,2.529,3.71,0.049,0.270,0.611,0.604,1.216,50.29,0.180,1220,0.910,0.181,0.110,0.071
421,M,8,15.18,10.14,164,47.27,71,2.271,2.76,0.055,0.375,0.643,0.595,1.238,51.92,0.184,1194,0.713,0.193,0.120,0.073
422,M,8,14.33,13.47,208,53.69,118,2.712,4.70,0.053,0.206,0.706,0.632,1.337,52.76,0.186,1231,1.152,0.240,0.167,0.072
423,M,8,15.04,14.99,214,54.05,149,2.426,4.87,0.051,0.200,0.815,0.725,1.540,52.92,0.205,1212,1.221,0.314,0.217,0.097
424,M,8,15.84,11.26,181,52.33,76,2.476,3.90,0.052,0.255,0.880,0.891,1.771,49.69,0.218,1200,0.767,0.377,0.215,0.162
425,M,8,15.54,7.35,140,54.34,53,2.592,3.08,0.049,0.331,0.826,0.983,1.810,45.65,0.190,1162,0.888,0.383,0.240,0.143
426,M,8,14.63,13.71,193,49.35,132,2.098,3.72,0.053,0.279,0.771,0.734,1.505,51.25,0.201,1192,0.875,0.286,0.184,0.102
427,M,8,15.18,11.80,184,61.89,141,2.739,4.85,0.044,0.204,0.913,0.770,1.683,54.24,0.230,1261,0.666,0.371,0.237,0.134
428,M,8,15.19,10.27,166,67.38,131,2.420,4.46,0.040,0.221,0.667,0.957,1.624,41.06,0.165,1204,0.916,0.290,0.188,0.102
429,M,8,16.48,21.65,267,45.12,172,1.475,5.15,0.056,0.182,1.055,0.774,1.830,57.68,0.248,1233,0.993,0.456,0.296,0.160
430,M,8,15.15,4.93,110,55.71,29,2.801,2.81,0.049,0.358,0.764,1.009,1.773,43.10,0.182,1214,0.789,0.370,0.259,0.111
431,M,8,15.09,4.94,117,59.33,26,3.102,2.73,0.046,0.372,0.754,0.678,1.432,52.67,0.209,1221,0.830,0.257,0.154,0.102
432,M,8,15.13,14.95,210,52.81,162,2.102,4.64,0.049,0.212,0.772,0.757,1.529,50.49,0.198,1166,0.684,0.287,0.175,0.113
433,M,8,13.28,7.60,146,52.38,45,2.611,2.67,0.050,0.386,0.676,0.559,1.234,54.74,0.199,1247,0.619,0.199,0.122,0.077
434,M,8,15.29,10.49,176,59.08,98,2.681,4.49,0.044,0.221,0.679,0.658,1.338,50.78,0.188,1195,0.729,0.219,0.132,0.087
435,M,8,14.58,6.02,135,53.62,22,2.914,2.59,0.053,0.389,0.771,0.660,1.431,53.90,0.206,1251,0.671,0.273,0.184,0.090
436,M,8,14.73,10.17,170,60.78,118,2.621,4.10,0.044,0.245,0.672,0.709,1.380,48.65,0.184,1229,0.651,0.227,0.132,0.095
437,M,8,15.48,12.97,190,52.82,104,2.207,4.16,0.049,0.241,0.971,0.912,1.883,51.56,0.232,1226,0.709,0.462,0.302,0.161
438,F,8,15.48,36.37,378,32.57,230,0.676,6.42,0.074,0.156,1.092,0.790,1.882,58.03,0.265,1233,0.712,0.469,0.270,0.199
439,F,8,15.58,20.41,262,41.29,131,1.549,4.50,0.062,0.226,1.045,0.819,1.863,56.07,0.252,1227,0.558,0.462,0.293,0.168
440,F,8,14.73,17.66,241,42.25,119,2.064,4.16,0.064,0.241,0.885,0.762,1.647,53.76,0.222,1236,0.628,0.348,0.216,0.132
441,F,8,15.88,25.12,302,35.43,124,1.008,4.60,0.070,0.220,0.932,0.921,1.853,50.31,0.223,1242,0.615,0.414,0.242,0.173
442,F,8,15.38,10.83,191,51.94,69,2.699,3.89,0.054,0.259,0.853,0.562,1.415,60.28,0.239,1254,0.632,0.273,0.165,0.108
