sample #,VOI1,VOI2,VOI3,VOI4,
462,0.0638,0.0565,0.0751,0.034,
463,0.01,0.0119,0.0187,0.008,
464,0.0101,0.0293,0.0328,0.0381,
465,0.0018,0.0079,0.0069,0.0008,
467,0.0087,0,0,0,
468,0.0006,0.0109,0.0048,0.0015,
469,0.002,0.1488,0.1564,0.0363,
470,0,0,0,0,
471,0.0009,0.0012,0.0005,0.0006,
472,0.0018,0.0016,0.0195,0.0215,
473,0.0077,0.0159,0.0037,0.0013,
474,0.01,0.0072,0.0003,0.0011,
475,0.0033,0.0032,0.0005,0.0003,
476,0.1288,0.0122,0.0042,0.0119,
477,0.0056,0.0035,0.0049,0.0011,
478,0.0285,0.1005,0.0142,0.0132,
479,0.006,0.0008,0,0.0003,
480,0,0,0,0,
481,0.0033,0.0363,0.0013,0.0009,
482,0.002,0.0392,0.0009,0.0056,
484,0,0.0014,0,0,
485,0.0022,0.0493,0.06,0.0035,
486,0.0008,0.0001,0,0,
487,0.0018,0.0001,0,0,
488,0.0015,0.0006,0,0.003,
489,0.003,0.0091,0.0006,0.0013,
490,0,0.0024,0.0107,0.0001,
491,0.0021,0.0001,0,0,
492,0.0009,0.0016,0,0,
493,0.0015,0.0018,0,0,
494,0.011,0.013,0.0226,0.0029,
495,0.0033,0,0,0,
496,0.0011,0.0007,0,0.0001,
497,0,0,0,0,
FV498,0.0299,0.021,0.0359,0.0169,
FV499,0.0951,0.4809,0.3053,0.2355,
FV500,0.0637,0.0806,0.0456,0.0477,
FV501,0.0027,0.0011,0.0012,0,
FV502,0.0153,0.0174,0.0283,0.0064,
FV503,0.0049,0.0129,0.0006,0.0003,
FV504,0.013,0.0349,0.0277,0.0404,
FV505,0.0042,0.0658,0.0114,0.0067,
FV506,0.01,0.1673,0.0206,0.0015,
FV507,0.1733,0.1737,0.3266,0.1757,
FV508,0.0285,0.0241,0.0106,0.0035,
FV509,0.0108,0.0136,0.0063,0.0079,
FV510,0.1295,0.3728,0.0467,0.0452,
FV511,0.0027,0.0037,0.0023,0.001,
FV512,0.3399,0.0876,0.1176,0.0943,
FV513,0.0009,0.0024,0.0012,0.0001,
FV514,0.131,0.1008,0.154,0.2347,
FV515,0.0084,0.178,0.0706,0.0251,
FV516,0.021,0.0158,0.0113,0.0132,
FV517,0.2904,0.193,0.2796,0.221,
FV518,0.0014,0.0016,0,0,
FV519,0.0003,0,0,0,
FV520,0.0176,0.0002,0,0,
FV521,0.0034,0.1125,0.0672,0.0778,
FV522,0.0019,0,0,0,
FV523,0.015,0.0156,0.0065,0.0005,
FV524,0.2748,0.4028,0.1348,0.0999,
FV525,0.0017,0.0071,0.0041,0.0072,
FV526,0.0881,0.1084,0.0797,0.0015,
FV527,0.0222,0.3342,0.0721,0.1175,
FV528,0.0003,0.0005,0,0,
FV529,0.0008,0.0038,0.0002,0.0045,
FV530,0.0007,0.001,0,0,
FV531,0,0,0,0,
FV532,0.001,0.0002,0,0,
FV533,0.001,0.0007,0,0,
FV534,0.0076,0.009,0.0003,0.0016,
FV535,0.0006,0.0023,0.0001,0,
FV536,0.0011,0.0005,0.0006,0,
FV537,0.0001,0,0,0,
FV538,0.291,0.0378,0.0405,0.009,
FV539,0,0.0001,0,0,
FV540,0.0035,0.0044,0.0006,0.0001,
FV541,0.061,0.034,0.0061,0.0536,
FV542,0.0148,0.001,0.0005,0,
FV543,0.0125,0.0493,0.0276,0.0088,
FV544,0.0002,0.0006,0,0,
FV545,0.2192,0.0889,0.0761,0.0598,
FV546,0.0141,0.1763,0.1484,0.0928,
FV547,0.0025,0.0017,0.0005,0,
FV548,0.0065,0.0214,0.007,0.0005,
FV549,0.0224,0.374,0.2358,0.1301,
FV550,0.0194,0.0285,0.0149,0.0023,
FV551,0.3421,0.5438,0.6477,0.4493,
FV552,0.0276,0.0669,0.0373,0.0236,
FV553,0.0338,0.0179,0.027,0.0341,
FV554,0.109,0.0386,0.0039,0.0064,
FV555,0.0194,0.0004,0.0001,0.0002,
FV556,0.1059,0.0895,0.0463,0.1039,
FV557,0.1273,0.4614,0.5417,0.3575,
FV558,0.0011,0.0055,0.0001,0,
FV559,0.0028,0.0147,0.0029,0.0001,
FV560,0.0595,0.0224,0.0017,0.0007,
FV561,0.1139,0.3674,0.1202,0.0974,
FV562,0.0118,0.0103,0,0.0003,
FV563,0.0012,0.0008,0,0.0008,
FV564,0.0005,0,0,0,
FV565,0.0033,0.0099,0.0003,0,
FV566,0.0036,0.0104,0.0003,0,
FV567,0.001,0.0042,0.0009,0,
FV568,0.0285,0.0486,0.0106,0.0064,
FV569,0.0068,0.1209,0.092,0.1519,
FV570,0.1024,0.526,0.4134,0.1623,
FV571,0.0034,0.1202,0.0092,0.0017,
FV572,0.0021,0.012,0.0049,0.0013,
FV573,0.0003,0.0004,0.0003,0.0041,
FV574,0.169,0.4446,0.392,0.1333,
FV575,0.0019,0.0165,0.0002,0,
FV576,0.0546,0.2326,0.0378,0.0234,
FV577,0.003,0.0013,0.0005,0.0001,
FV578,0.0211,0.124,0.0182,0.017,
