Specimen,Femur length [mm],Stiffness [N/mm],Yield Stiffness [N/mm],Max Load [N],Yield Load [N],Fracture Load [N],Post-yield Deflection [mm],Disp at Yield [mm],Disp at Fx [mm],Disp at Max Load [mm],Total Work [N-mm],Work to Yield [N-mm],Work Post-yield [N-mm]
DO-285,15.43,143.23,128.91,40.2,17.1,39.11,0.285,0.13,0.415,0.399,17.58,1.23,16.35
DO-286,16.09,142.651,128.39,48.96,18.8,48.49,0.184,0.143,0.327,0.323,15.62,1.5,14.12
DO-287,15.55,193.05,173.75,43.15,32.13,43.15,0.135,0.232,0.367,0.367,16.68,3.54,13.14
DO-288,14.92,102.598,92.34,17.62,14.61,16.2,0.063,0.156,0.219,0.204,4.09,1.28,2.81
DO-289,14.78,110.447,99.4,30.3,23.29,30.12,0.181,0.251,0.432,0.425,14.52,3.14,11.38
DO-290,15.92,218.706,196.84,42.04,,40.45,0,,0.204,0.202,8.41,8.41,0
DO-291,15.29,137.672,123.91,27.07,22.88,26.29,0.067,0.216,0.283,0.277,7.89,2.5,5.39
DO-292,15.78,130.345,117.31,38.75,36.99,38.44,0.018,0.352,0.37,0.36,14.46,6.68,7.78
DO-293,14.71,156.789,141.11,42.25,39.87,39.87,0,0.295,0.295,0.295,12.36,6.48,5.88
DO-294,13.97,160.921,144.83,29.06,,28.88,0,,0.224,0.223,6.41,6.41,0
DO-295,15.57,150.92,135.83,36.68,32.86,35.49,0.069,0.255,0.324,0.321,12.61,4.48,8.13
DO-296,15.58,200.034,180.03,42.19,36.87,42.19,0.075,0.256,0.331,0.331,14.55,4.58,9.97
DO-297,15.16,145.636,131.07,48.32,18.24,47.98,0.352,0.138,0.491,0.49,25.67,1.38,24.29
DO-298,16.24,174.516,157.06,40.05,21.93,39.43,0.14,0.136,0.276,0.263,11.7,1.67,10.04
DO-299,15.51,167.558,150.8,50.12,34.96,48.06,0.211,0.233,0.444,0.397,24.48,4.47,20.01
DO-300,15.94,185.214,166.69,56.72,25.91,56.72,0.195,0.15,0.345,0.345,20.09,2.17,17.92
DO-301,15.15,108.961,98.07,29.41,16.65,29.2,0.218,0.17,0.388,0.386,12.36,1.53,10.83
DO-302,15.06,111.972,100.78,16.86,15.28,16.49,0.098,0.147,0.245,0.243,4.83,1.26,3.57
DO-303,15.69,159.332,143.4,32.91,22.38,32.59,0.114,0.153,0.267,0.266,9.33,1.93,7.41
DO-304,14.81,140.159,126.14,39.38,22.55,36.97,0.379,0.18,0.56,0.502,25.82,2.23,23.59
DO-305,15.98,228.217,205.4,49.43,33.97,48.95,0.315,0.166,0.481,0.458,28.8,3.12,25.69
DO-306,15.4,182.609,164.35,41.01,30.47,40.94,0.044,0.17,0.214,0.213,8.71,5.18,3.53
DO-307,15.67,222.962,200.67,37.68,36.42,37.1,0.005,0.196,0.201,0.199,7.64,3.73,3.9
